core_clause_id	fodpo_clause_id	clause_sha256
258	137990	A96C45E1C2A930E29100ACE8D8C715B89F399F2CA7A80561F4A954A5ED928CAA
259	138690	0D43290AA5820D93D21267566A0FCA0F3A66AC58506C877AA120363ACF2D9D84
260	138720	63C38D83DF9329CE2EED94017A8141340A3E36C01E229BBC09F3D413CBD28B25
261	139256	D163302D6E81393B0172E7223D82660009F005DD4E18DF760929746512464AA9
262	139450	FFDBD93A2503AA071E78A1B9C632585924C458E4CB2D648046B6A9EE803C6855
263	143789	9E570074E2D93E7411551D3E830B4D1F0C63FAFB95B38A6AA5ED36685F5A3763
264	144121	B4595CE988A0D7A685902C87B0352C49FA798656CE7CB1C100F48F5CAB20535F
265	144181	7ACDBF6A380E5FC96C0C95C01990A0DD147098682BAE75B8EA49FE8DD3421BE8
266	145436	376824F91FF6CF7719317F2D2AF0D31597267EA5CD095AE09B4EC73EB449BCBD
267	146315	179F68F9F3239717EF32DC2369E901141BC8DB4E25AF01A1955365ACF8636A4C
268	148143	6A46D8D80D69B32A3184F3089F1AF6E7757665A83972E1DC132C843ACDFF69FB
269	149074	362E8F35299D6DE0B45284E2529F84B8C15C67E60B7457CE901D778384D1E796
270	149456	CE27D462A4E66D9AD2E080B034096E55EE936B3D656D2B4BD64A42C1333E028D
271	153989	D78FE1A757218D5246BF9711D04CD884D72BDD895861132047FFEB87FD3E7A05
272	154185	9575A8BECBEA1C64E113BA2010E13BC3AD7016F9B2DC9166513741E462E59C4B
273	154321	4FEF19F939EEB19653F85615CC5C2801D1C55B2C91A8558662CA6C91EEE41F62
274	154381	52A8EB833CA74AAB3F6E698E5A61BF3D75CACF1BF640348DFC6E5AAB447EAD92
275	154912	4F609B6EA7D62FA9963E34AA857A039C7FE70C84EC435E6144532DAB812B8771
276	155543	4FB4E02D83B79911B7E8FF8F47F2AFDE4190A9F6732CA45B8C778F3F3D4572B4
277	156940	4576EE03D473780E91F7C6C502B2F5BC36F5ACD8ABBCB704D2ED862D68D50AC6
278	157223	3C67D866C040E75757CA4D61637C2F7DFFA6214668CC7BB9B57B0FF13B0C5A6F
279	157560	67C84B530C531CB57F3F1468F66BD8B2E5B86928510980372BFECA84CFFBD125
280	157958	605DEF3354DAE1BE71F584A2C349F759D47D4AB42B85F988E20B7EC9DA7F43AA
